time(s),face,x,y,z
3.7439703941345215,SF,0.207763,0.977067,0.049451
4.056036949157715,SF,0.214584,0.975644,0.04743
4.363851308822632,SF,0.254989,0.9662,0.038885
4.697505950927734,SF,0.298358,0.954185,0.023119
4.973300933837891,SF,0.330681,0.943792,0.004144
5.279129505157471,SF,0.340827,0.940185,-0.005643
5.72006630897522,SF,0.339868,0.940469,-0.009819
6.069706916809082,SF,0.352766,0.935436,-0.023625
6.4574244022369385,SF,0.38357,0.921575,-0.059725
6.6931774616241455,SF,0.39289,0.916161,-0.078533
6.928938388824463,SF,0.402275,0.910051,-0.099198
7.176745176315308,SF,0.404306,0.907781,-0.11067
7.4134979248046875,SF,0.389594,0.91541,-0.100533
7.664273262023926,SF,0.384551,0.917626,-0.099906
7.915016174316406,SF,0.384133,0.917573,-0.101857
8.146775960922241,SF,0.383967,0.917425,-0.103427
8.382529497146606,SF,0.381598,0.918472,-0.102774
8.635268449783325,SF,0.386829,0.915489,-0.109769
8.867027997970581,SF,0.393309,0.911262,-0.121528
9.154924392700195,SF,0.401049,0.905078,-0.140545
9.391044855117798,SF,0.403934,0.901458,-0.15468
9.622804403305054,SF,0.403267,0.900433,-0.16252
9.86070728302002,SF,0.398759,0.902167,-0.164315
10.091723203659058,SF,0.399152,0.89998,-0.17482
10.325505256652832,SF,0.398358,0.897301,-0.189674
10.56842565536499,SF,0.395026,0.896297,-0.201235
10.811177253723145,SF,0.390416,0.894261,-0.218338
11.043936967849731,SF,0.382058,0.893349,-0.235964
11.284685134887695,SF,0.373279,0.887363,-0.270181
11.514449119567871,SF,0.355863,0.885626,-0.298037
11.743332862854004,SF,0.335958,0.889918,-0.308332
11.975093364715576,SF,0.317285,0.897042,-0.307436
12.245974063873291,SF,0.303248,0.907669,-0.29006
12.489832162857056,SF,0.292698,0.916972,-0.270882
12.738558530807495,SF,0.290328,0.921245,-0.258785
12.968324661254883,SF,0.291783,0.923658,-0.248587
13.208269357681274,SF,0.293872,0.925818,-0.237574
13.447179555892944,SF,0.301166,0.92584,-0.228529
13.691207647323608,SF,0.30734,0.925853,-0.219869
13.947945594787598,SF,0.315346,0.924485,-0.214556
14.18869161605835,SF,0.326489,0.919887,-0.217677
14.419455766677856,SF,0.333927,0.916798,-0.219517
14.663305759429932,SF,0.339593,0.913891,-0.222642
14.905221700668335,SF,0.343985,0.911463,-0.22607
15.15696120262146,SF,0.346639,0.91037,-0.226592
15.390718698501587,SF,0.348131,0.908398,-0.23205
15.623478174209595,SF,0.350319,0.904463,-0.243816
15.953136444091797,SF,0.347223,0.905413,-0.244673
16.212870121002197,SF,0.34286,0.906591,-0.246435
16.44063401222229,SF,0.339389,0.905917,-0.253634
16.670408725738525,SF,0.329161,0.907418,-0.261755
16.92712903022766,SF,0.322463,0.909537,-0.262479
17.159968614578247,SF,0.317433,0.91159,-0.261737
17.394890069961548,SF,0.313483,0.914963,-0.254348
18.268064260482788,SF,0.310537,0.91844,-0.245092
18.506819009780884,SF,0.317429,0.921087,-0.225392
18.767595767974854,SF,0.322327,0.919104,-0.226455
19.004677534103394,SF,0.328507,0.915384,-0.232643
19.247426748275757,SF,0.332612,0.91136,-0.242009
19.52553129196167,SF,0.333964,0.905835,-0.260341
19.777271032333374,SF,0.326802,0.899314,-0.290068
20.009029626846313,SF,0.305933,0.89339,-0.328434
20.242790937423706,SF,0.27371,0.892773,-0.357418
20.491530179977417,SF,0.237546,0.901574,-0.361153
20.72736644744873,SF,0.214907,0.913658,-0.344728
20.995338916778564,SF,0.208876,0.926317,-0.313194
21.238090753555298,SF,0.219006,0.936377,-0.274012
21.471848964691162,SF,0.229178,0.944374,-0.235728
21.715599060058594,SF,0.238809,0.949376,-0.204193
21.950610637664795,SF,0.250962,0.95231,-0.173452
22.182556867599487,SF,0.262635,0.952996,-0.151355
22.419311046600342,SF,0.277434,0.951252,-0.134713
23.543643712997437,SF,0.290862,0.949607,-0.116976
23.790753602981567,SF,0.350814,0.931254,-0.099125
24.037500143051147,SF,0.360749,0.927154,-0.102303
24.280246019363403,SF,0.371124,0.922447,-0.107609
24.548007249832153,SF,0.37745,0.919393,-0.111072
24.783381700515747,SF,0.386394,0.914108,-0.123486
25.214526653289795,SF,0.397503,0.906605,-0.142472
25.44530415534973,SF,0.406316,0.895412,-0.182857
25.742979526519775,SF,0.403904,0.893372,-0.197548
26.04477858543396,SF,0.394473,0.897492,-0.197568
26.30761694908142,SF,0.379495,0.908707,-0.174312
26.561357259750366,SF,0.370741,0.914833,-0.160917
26.79611086845398,SF,0.368172,0.916801,-0.155472
27.03691053390503,SF,0.36967,0.916035,-0.156162
27.272263288497925,SF,0.373873,0.912981,-0.16429
27.502237558364868,SF,0.375825,0.911196,-0.169543
27.74428367614746,SF,0.372326,0.913084,-0.16677
27.99418044090271,SF,0.367302,0.916289,-0.160564
28.22893738746643,SF,0.36118,0.920157,-0.15197
28.48617649078369,SF,0.353638,0.925207,-0.138692
28.717583894729614,SF,0.343461,0.931383,-0.121936
28.946344137191772,SF,0.338993,0.934106,-0.112227
29.178104400634766,SF,0.34093,0.933891,-0.109125
29.43983483314514,SF,0.345315,0.932321,-0.108161
29.767494916915894,SF,0.358057,0.92609,-0.119346
30.039212465286255,SF,0.362485,0.92362,-0.124751
30.40283966064453,SF,0.367968,0.919945,-0.135129
30.655781269073486,SF,0.372558,0.916225,-0.147557
38.765488624572754,NY,0.836676,0.54405,0.063392
39.09015464782715,NY,0.835855,0.545266,0.063883
39.37885618209839,NY,0.835216,0.546081,0.064309
39.788429737091064,NY,0.85717,0.511789,0.05693
40.25494885444641,NY,0.876014,0.479907,0.046046
40.59159827232361,NY,0.88133,0.470672,0.041135
40.91850924491882,NY,0.894214,0.44661,0.028317
41.26514172554016,NY,0.900468,0.434263,0.020165
41.54984974861145,NY,0.904626,0.425997,0.011287
41.83155846595764,NY,0.918979,0.39389,-0.014348
42.08029890060425,NY,0.927087,0.372701,-0.037862
42.4109582901001,NY,0.931719,0.357535,-0.062413
43.63573861122131,NY,0.917576,0.391147,-0.069624
43.888476610183716,NY,0.90437,0.424592,-0.04102
44.16359519958496,NY,0.902308,0.429418,-0.036128
44.41137719154358,NY,0.90304,0.428227,-0.031225
44.66152811050415,NY,0.899578,0.435702,-0.027733
44.90139579772949,NY,0.912692,0.405865,-0.04632
45.13720464706421,NY,0.924441,0.371551,-0.084451
45.37712049484253,NY,0.928495,0.353067,-0.114138
45.723854541778564,NY,0.927653,0.350608,-0.12774
46.02686357498169,NY,0.922548,0.362443,-0.132073
46.294607639312744,NY,0.922409,0.351495,-0.159162
46.53635931015015,NY,0.919369,0.357044,-0.164534
46.81910681724548,NY,0.914835,0.371215,-0.158344
47.04926252365112,NY,0.911584,0.380375,-0.155311
47.28213357925415,NY,0.909965,0.384158,-0.155811
47.550856590270996,NY,0.90617,0.398492,-0.141207
47.787609338760376,NY,0.900453,0.418468,-0.118194
48.04034686088562,NY,0.892535,0.440938,-0.094149
48.27110934257507,NY,0.886847,0.455482,-0.076251
48.512861013412476,NY,0.881597,0.467902,-0.06061
48.769843101501465,NY,0.88413,0.463319,-0.059213
49.01758933067322,NY,0.896226,0.438469,-0.067191
49.26333498954773,NY,0.906994,0.411794,-0.087238
49.54005026817322,NY,0.910307,0.402196,-0.097718
49.78783416748047,NY,0.910149,0.401867,-0.100661
50.040969133377075,NY,0.904995,0.417577,-0.080517
50.28571605682373,NY,0.895439,0.441,-0.060803
50.54145097732544,NY,0.898952,0.433222,-0.064458
50.793190240859985,NY,0.911104,0.403139,-0.086032
51.04215168952942,NY,0.917468,0.383792,-0.104372
51.30288076400757,NY,0.91546,0.388439,-0.105082
51.542635679244995,NY,0.916146,0.385422,-0.110317
51.84732007980347,NY,0.912234,0.398639,-0.094261
52.09306597709656,NY,0.900629,0.429784,-0.064157
52.32493710517883,NY,0.891409,0.4511,-0.043246
52.57395696640015,NY,0.896086,0.441649,-0.044143
52.81171131134033,NY,0.90494,0.422302,-0.052857
53.067710876464844,NY,0.916232,0.393734,-0.074801
53.30148911476135,NY,0.92375,0.370695,-0.097092
53.546234369277954,NY,0.926686,0.358258,-0.114285
53.829052209854126,NY,0.92471,0.364708,-0.110231
54.10376811027527,NY,0.913844,0.398796,-0.077775
54.37248969078064,NY,0.903514,0.42556,-0.051246
54.62023329734802,NY,0.900006,0.434341,-0.038445
54.88104248046875,NY,0.906331,0.420712,-0.042227
55.166749715805054,NY,0.907371,0.418283,-0.043076
55.40750026702881,NY,0.918741,0.389907,-0.063149
55.6422815322876,NY,0.922235,0.379448,-0.074807
55.878209590911865,NY,0.925092,0.368929,-0.091214
56.12395167350769,NY,0.927853,0.356666,-0.110264
56.36576771736145,NY,0.929041,0.347564,-0.127362
56.59852647781372,NY,0.921769,0.374032,-0.102695
56.92418932914734,NY,0.913652,0.398856,-0.07979
57.178924322128296,NY,0.90273,0.427171,-0.054101
57.41580867767334,NY,0.907233,0.416466,-0.06085
57.68156099319458,NY,0.9148,0.397082,-0.075545
57.91332149505615,NY,0.921294,0.376636,-0.098339
58.20302152633667,NY,0.923482,0.366012,-0.115981
58.44177436828613,NY,0.92302,0.364288,-0.124436
58.68951773643494,NY,0.922728,0.358967,-0.140979
58.921278953552246,NY,0.920691,0.362034,-0.146753
59.17701268196106,NY,0.90373,0.41824,-0.092946
59.42475700378418,NY,0.898325,0.431981,-0.080707
60.44623160362244,NY,0.904015,0.418236,-0.089771
60.67998909950256,NY,0.911073,0.39326,-0.124579
60.92273759841919,NY,0.911224,0.392723,-0.125179
61.16652703285217,NY,0.902346,0.419854,-0.098176
61.46235156059265,NY,0.892792,0.444318,-0.075126
62.72694754600525,NY,0.916441,0.377507,-0.132952
62.9698920249939,NY,0.914687,0.381424,-0.133403
63.214635610580444,NY,0.913523,0.385251,-0.130476
63.5173225402832,NY,0.903968,0.416511,-0.097168
63.8250036239624,NY,0.8928,0.445662,-0.066327
64.05794143676758,NY,0.882759,0.468005,-0.041865
64.32487273216248,NY,0.878891,0.476058,-0.030026
64.5706250667572,NY,0.888854,0.457041,-0.033612
64.8266339302063,NY,0.899586,0.434747,-0.04155
65.06552195549011,NY,0.912146,0.405666,-0.059302
65.30024647712708,NY,0.920562,0.381896,-0.081617
65.53908324241638,NY,0.925002,0.366497,-0.100005
65.81079936027527,NY,0.926981,0.353763,-0.124609
66.06967687606812,NY,0.928247,0.341153,-0.148047
66.30346655845642,NY,0.925827,0.342244,-0.16027
66.5452196598053,NY,0.92292,0.346527,-0.166966
66.7869668006897,NY,0.920861,0.352546,-0.165933
67.02272486686707,NY,0.918053,0.364496,-0.155774
67.26247525215149,NY,0.91554,0.374183,-0.147379
67.50522780418396,NY,0.912926,0.386783,-0.129655
78.42889714241028,ES,0.776658,0.242042,0.581314
78.69662308692932,ES,0.777238,0.241039,0.581091
79.00848078727722,ES,0.795098,0.210656,0.568685
79.33214569091797,ES,0.816879,0.171208,0.550574
79.62584161758423,ES,0.834201,0.149847,0.530598
79.92183065414429,ES,0.849836,0.135631,0.509119
80.23274731636047,ES,0.85535,0.137826,0.499141
80.53965759277344,ES,0.863462,0.136359,0.485439
80.84634256362915,ES,0.871747,0.136867,0.470375
81.26190876960754,ES,0.882098,0.137593,0.450393
81.57658624649048,ES,0.882499,0.143976,0.447652
81.81234002113342,ES,0.879349,0.150856,0.451528
82.16097855567932,ES,0.860635,0.169046,0.480151
82.40872502326965,ES,0.847518,0.182125,0.498437
82.67644667625427,ES,0.845091,0.177991,0.503928
82.90920352935791,ES,0.848793,0.168283,0.50103
83.1389684677124,ES,0.853424,0.158157,0.496665
83.37008929252625,ES,0.861324,0.149858,0.485372
83.59910273551941,ES,0.876764,0.134105,0.461812
83.83785486221313,ES,0.865722,0.144736,0.479115
84.09059381484985,ES,0.847334,0.166776,0.504172
84.33051228523254,ES,0.853074,0.155441,0.49811
84.57248210906982,ES,0.866904,0.138254,0.479012
84.8203432559967,ES,0.879053,0.127256,0.459471
85.15699696540833,ES,0.885956,0.124537,0.446906
85.41382646560669,ES,0.891372,0.129153,0.434556
86.23616886138916,ES,0.893876,0.134823,0.427811
86.46793222427368,ES,0.895446,0.153087,0.418256
86.71767354011536,ES,0.89619,0.154567,0.416033
86.97843194007874,ES,0.892157,0.161393,0.422017
87.21851944923401,ES,0.889125,0.165782,0.426904
87.50056838989258,ES,0.887608,0.168713,0.428839
87.73237609863281,ES,0.887319,0.167578,0.429897
87.99410462379456,ES,0.883273,0.1726,0.436068
88.24485301971436,ES,0.881709,0.172317,0.439349
88.52854871749878,ES,0.877913,0.173083,0.446641
88.7753438949585,ES,0.873942,0.174837,0.45376
89.02708268165588,ES,0.872655,0.172346,0.457231
89.26201391220093,ES,0.871034,0.170675,0.460864
89.52773785591125,ES,0.868626,0.170667,0.46526
89.76884317398071,ES,0.870046,0.164645,0.464769
90.01175904273987,ES,0.871514,0.160812,0.463421
90.27848267555237,ES,0.874261,0.156396,0.459606
90.51623606681824,ES,0.87706,0.152241,0.455711
90.75798416137695,ES,0.877033,0.150982,0.456211
91.00472807884216,ES,0.875819,0.151222,0.458411
91.2475368976593,ES,0.876918,0.149356,0.456815
91.48542380332947,ES,0.881033,0.143389,0.450821
91.71918296813965,ES,0.884741,0.14101,0.444324
91.96799612045288,ES,0.887342,0.140592,0.439076
92.2017412185669,ES,0.890407,0.13902,0.433428
92.44162440299988,ES,0.885956,0.143052,0.441097
92.68758058547974,ES,0.875946,0.151737,0.457776
92.9383237361908,ES,0.869957,0.15649,0.467434
93.17409420013428,ES,0.870167,0.153858,0.468017
93.42481684684753,ES,0.873109,0.149068,0.464209
93.75547742843628,ES,0.872388,0.148834,0.465439
93.99423027038574,ES,0.870108,0.151802,0.468668
94.24812912940979,ES,0.874313,0.148455,0.461914
94.50586366653442,ES,0.876149,0.147855,0.458661
94.7367913722992,ES,0.87894,0.148842,0.452785
94.96755194664001,ES,0.885231,0.148327,0.440657
95.19831323623657,ES,0.890013,0.147909,0.431057
95.43206930160522,ES,0.889726,0.152691,0.430041
95.69679403305054,ES,0.880469,0.162895,0.445097
95.94358897209167,ES,0.873575,0.172502,0.454891
